target,language_group,detector,rule,phenotype,uncertainty_pattern,evidence_instances,unique_evidence_texts,duplicate_rate_excess,example_evidence
PF OA,dutch,v3_target,compartment_scope,chondral_abnormality,vermoeden,2,2,0.0,"vermoeden beginnend patellair kraakbeenlijden, met licht onregelmatig oppervlak en licht heterogeen signaal."
PF OA,english,v3_target,compartment_scope,chondral_abnormality,may represent,1,1,0.0,the articular cartilage of patella directly posterior to this focus is intact but does demonstrate slight contour irregularity and signal change which may represent mild chondrosis.
PF OA,english,v3_target,compartment_scope,chondral_abnormality,possible,2,2,0.0,constellation of findings suggesting possible patellar maltracking with trace edema in the superior lateral portion of hoffa's fat pad and borderline abnormal tibial tubercle trochlear groove distance with patchy marrow edema and subchondral cystic change within the superior aspect lateral patellar without definite adjacent cartilage defect with small joint effusion.
PF OA,english,v3_target,compartment_scope,chondral_abnormality,r o,6,6,0.0,"> ill defined increased singal intesity area in the articular cartilage of patella with mild irregular articulation, r o grade 1 2 chondromalacia"
PF OA,english,v3_target,compartment_scope,chondral_abnormality,suspicious,3,3,0.0,"> suspicious of mild farying articular cartilage of patella, r o grade 2 chondromalacia."
PF OA,english,v3_target|v2_exact,compartment_scope,chondral_abnormality,r o,1,1,0.0,"> suspicious of mild thining of lower portion of lateral facet of patellar cartilage, r o grade 2 patellar chondromalacia."
PF OA,english,v3_target|v2_exact,compartment_scope,chondral_abnormality,suspicious,1,1,0.0,"> suspicious of mild thining of lower portion of lateral facet of patellar cartilage, r o grade 2 patellar chondromalacia."
Synovitis,english,v2_exact,<no_explicit_rule>,abnormality,likely,2,2,0.0,"fluid: moderate joint effusion with debris, likely related to synovitis and inflammation."
Synovitis,english,v2_exact,<no_explicit_rule>,abnormality,possible,3,1,0.6666666666666666,joint effusion and fluid in the suprapatellar bursa with possible chronic synovitis bursitis due to the presence of septations
Synovitis,english,v2_exact,<no_explicit_rule>,abnormality,probable,1,1,0.0,differential diagnoses such as focal synovitis and pvns are less probable.
Synovitis,english,v2_exact,<no_explicit_rule>,abnormality,suspected,2,2,0.0,suspected suprapatellar synovitis bursitis.
Synovitis,english,v2_exact,<no_explicit_rule>,fracture,suspect,1,1,0.0,minimal amount of right knee effusion with synovitis is present severe bone marrow edema at posterior lateral tibial plateau and lateral femoral condyle (suspect split non displaced fracture postero lateral tibial plateau)
