context_structure,target,status,detector,phenotype,rule,selected_evidence_instances,unique_study_target_pairs
single_clause,Medial OA,positive,v3_target,chondral_abnormality,compartment_scope,311,272
single_clause,Medial OA,positive,v3_target,degeneration,compartment_scope,3,3
single_clause,Medial OA,positive,v3_target|v2_collective,chondral_abnormality,compartment_scope|tibiofemoral_compartments,11,9
single_clause,Medial OA,positive,v3_target|v2_exact,chondral_abnormality,compartment_scope,376,313
single_clause,Medial OA,positive,v3_target|v2_exact,degeneration,compartment_scope,19,19
single_clause,Medial OA,uncertain,v3_target,chondral_abnormality,compartment_scope,3,3
single_clause,PF OA,negative,v2_exact,abnormality_absent,<no_explicit_rule>,516,516
single_clause,PF OA,negative,v3_target,chondral_abnormality_absent,compartment_scope,308,306
single_clause,PF OA,negative,v3_target,normal_cartilage,compartment_normality,554,547
single_clause,PF OA,positive,v2_exact,abnormality,<no_explicit_rule>,20,20
single_clause,PF OA,positive,v2_exact,chondral_abnormality,<no_explicit_rule>,17,17
single_clause,PF OA,positive,v2_exact,degeneration,<no_explicit_rule>,29,29
single_clause,PF OA,positive,v2_exact,fracture,<no_explicit_rule>,1,1
single_clause,PF OA,positive,v2_exact,tear,<no_explicit_rule>,3,3
single_clause,PF OA,positive,v3_target,chondral_abnormality,compartment_scope,601,530
single_clause,PF OA,positive,v3_target,degeneration,compartment_scope,3,3
single_clause,PF OA,positive,v3_target|v2_collective,chondral_abnormality,compartment_scope|tibiofemoral_compartments,1,1
single_clause,PF OA,positive,v3_target|v2_exact,chondral_abnormality,compartment_scope,641,510
single_clause,PF OA,positive,v3_target|v2_exact,degeneration,compartment_scope,10,10
single_clause,PF OA,uncertain,v3_target,chondral_abnormality,compartment_scope,11,10
single_clause,PF OA,uncertain,v3_target|v2_exact,chondral_abnormality,compartment_scope,3,3
single_clause,Synovitis,negative,v2_exact,abnormality_absent,<no_explicit_rule>,22,21
single_clause,Synovitis,negative,v3_morphology,synovitis_absent,synovitis_de,1,1
single_clause,Synovitis,positive,v2_exact,abnormality,<no_explicit_rule>,677,449
single_clause,Synovitis,positive,v2_exact,chondral_abnormality,<no_explicit_rule>,12,12
single_clause,Synovitis,positive,v2_exact,degeneration,<no_explicit_rule>,1,1
single_clause,Synovitis,positive,v2_exact,fracture,<no_explicit_rule>,1,1
single_clause,Synovitis,positive,v2_exact,sprain,<no_explicit_rule>,6,6
single_clause,Synovitis,positive,v2_exact,tear,<no_explicit_rule>,11,10
single_clause,Synovitis,positive,v3_morphology,synovitis,synovitis_de,13,13
single_clause,Synovitis,positive,v3_morphology,synovitis,synovitis_el,36,26
single_clause,Synovitis,positive,v3_morphology,synovitis,synovitis_sl,3,3
single_clause,Synovitis,positive,v3_morphology,synovitis,synovitis_tr,22,22
single_clause,Synovitis,uncertain,v2_exact,abnormality,<no_explicit_rule>,11,10
single_clause,Synovitis,uncertain,v2_exact,fracture,<no_explicit_rule>,1,1
